code,county,year,PopDen
01,Stockholm county,2024,377.7
03,Uppsala county,2024,49.6
04,Södermanland county,2024,49.5
05,Östergötland county,2024,44.6
06,Jönköping county,2024,35.3
07,Kronoberg county,2024,24.0
08,Kalmar county,2024,22.0
09,Gotland county,2024,19.4
10,Blekinge county,2024,53.4
12,Skåne county,2024,129.8
13,Halland county,2024,63.3
14,Västra Götaland county,2024,74.1
17,Värmland county,2024,16.1
18,Örebro county,2024,36.1
19,Västmanland county,2024,54.7
20,Dalarna county,2024,10.2
21,Gävleborg county,2024,15.6
22,Västernorrland county,2024,11.1
23,Jämtland county,2024,2.7
24,Västerbotten county,2024,5.1
25,Norrbotten county,2024,2.5
